cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
,,,,,,,,b,,,s,,,w,p,,,,,v,
,s,,,,,,,,t,,,,,,,,,,w,,p
f,,,,y,,,,b,,,,,,,p,w,,e,w,,
,,,t,n,,,,,t,,,s,g,,,,,,,v,
,,,,l,,,b,,e,c,s,s,w,,,,,,n,,
,,n,,f,,,,,,,,,,,,w,,e,w,,
,,n,,n,,,b,,,,s,,,,,w,,,,,
,s,e,t,n,,,b,,e,,,s,,,p,w,,,w,,
,,,,,,c,,,,,,k,p,,,,,,,y,
,s,,,,f,c,,w,,,,,,,,,,p,n,,
,y,,,,,,n,,,?,s,,w,,,,,e,,v,
f,,,,,,c,,,,,s,,,p,p,,,,,,
x,,,,,,,,,t,,,,,,,,,,h,,u
,,,,,f,,,,,,,,,,p,w,,,,v,
,,,,,,,,b,,?,s,,,p,p,,o,e,w,v,d
f,,,,,f,,,p,t,e,f,s,,,,,o,,,,
,,,,,,,,,,,s,,,,,,o,,,,
,,,,,,,n,,,e,,,,,p,,,,n,y,
,s,,f,,,,,y,e,?,,,,o,,,,,,,l
,s,g,,f,,,,,,b,f,,w,w,,,,,,,u
,,,f,,f,,b,,,,,,w,,p,w,,e,n,,g
x,,,t,,,,b,,,b,,,,,,,o,p,k,,
,y,,,f,,c,b,,,,,,n,,,w,,,,,
,,,,f,,,,w,t,,,,,w,,w,,,,v,
,,,,,,c,,b,,,,s,p,,,w,,,w,,
,,,t,n,f,,,,,,s,,,,p,,,p,,y,d
,,,,n,,,b,,e,,,,,,,,o,p,b,,l
k,,e,f,,,,n,,,,s,,,,,w,,,,,p
,y,,,y,,c,n,b,,,k,s,p,,p,w,,e,w,v,
,,,,n,,c,,,e,,,,o,o,,n,,p,,,l
,,e,,,,c,,w,,,,,,,,,,p,n,y,
,,,f,f,f,,b,,e,,k,,,,,,o,l,h,,p
,,,f,n,,,,p,,e,,,w,,,w,,,k,,g
x,y,,,,,,,p,,,s,,,w,,,o,p,k,v,
f,,e,t,,,c,b,,,,,,,g,,,,,,y,
,y,,,a,,,,g,,c,,s,,,p,,,,k,,
,,n,,,,,,,,,,k,,,p,,,,,,
,,n,f,,,,,,t,?,k,k,w,,,w,,,,,d
,,,,n,,c,,,,,,,g,,,,,,k,v,
,f,,f,n,,,b,h,,,,,w,,,w,,,,s,
f,,,,n,f,,,,,,,,,,p,w,,,,,
,f,,,,,,,,,,,s,g,,p,w,,p,,y,
f,,,,n,f,,,,,,,,p,,p,,,,,,
x,y,g,,,,,,u,,,,,g,,p,,,,,,
f,,y,,f,,,b,,,,,,n,,,,,l,,,
,,,,,,,,,,b,,,w,,,,,,,,
,,,f,,f,,b,,,,,,w,,p,,,,k,s,
,f,,f,,f,c,,,e,,s,,w,,,,o,,,,
x,s,,,,f,w,b,,,e,,,w,,,,,,n,,
x,s,,,,,,,w,,,s,,,,,w,o,p,,,
,y,,,,,,,,t,,,,,,,,,,,,
,s,,t,n,,,b,,,,s,s,,,p,,,e,,,
,,w,,,,,,,,,,,w,,p,,t,,,,g
,,,,,,c,,,t,,,,,,p,,o,,,,d
,,,f,y,f,,n,b,,,,k,p,w,,w,,e,,v,d
,,,,,,c,,,,,,s,,,p,,,e,w,,
x,,,,,,,,n,,,,,g,,p,,,,,,
,,,,,f,c,,,,,,,,,p,,,,,,
,,,,p,,,,,,e,,,,w,p,,,p,,,u
,y,,t,,,,n,,,,,,,,,,o,,,,u
,s,,,,,,,,,c,,s,,,p,,,,k,,g
,,,,,,,b,h,,,,k,,,,w,,,h,v,
x,,,t,l,f,,,,e,,,,,w,,w,,,,,p
,,e,t,n,,,,,,,,,,,p,,,p,,,
,f,,f,n,f,,b,,,,,,,,p,,,e,,s,g
k,y,e,f,,,c,,b,,?,,,,,,,,,,,p
,,,,,,c,,,t,,,,,w,,w,,,,,
x,,y,,,f,w,,,,,s,,,,,,,,,,
k,s,,,y,,,,,,,s,,w,w,,w,,,,,p
,y,,t,n,,,,p,t,,,,,p,,w,,p,k,,
,f,,,,,w,b,,t,,,,,w,,,,e,k,a,
,,g,f,f,,,,g,e,,,,p,p,,,,l,,,
,y,,f,f,f,c,b,,,,,,,,,,,,h,y,
x,s,,,,f,w,,,e,,,k,,,,,,,,,
,f,n,,n,,,,p,,,s,s,,,,,o,,n,,g
,,,,,,,,h,t,,,,w,,,w,o,e,,,
,,,,,,c,,,,,,,,n,,,,l,h,,
x,,,,,,,,,t,,,,,,p,,,,,,
,f,,,,,,,p,,b,k,,p,,,,,,,,
f,y,,,f,,,,h,,b,,,,,p,,o,,h,,
,,,,,,,b,,e,,,k,,,p,,,,,,
,s,,,,,w,,g,,,,,,,p,,,p,,s,
,y,,,f,,,b,,,,k,,,,,w,,,,,
,,,,,f,,,,,b,,s,,,p,,,,,,
f,y,w,t,,,,,,,e,,,w,,,,,p,,,
,,,,,,,b,,,e,,,,w,,,o,e,,,
f,,,,f,f,,b,,e,,k,,p,,,w,,,h,y,p
,,,,,,,,,,b,,,b,,,w,,,,v,
b,,,f,,,c,,,,,,,,,,,,,,,
,,,,,,,,,t,,f,s,,,p,,o,,,s,g
,,,,n,f,c,,p,,b,s,,,,p,,,,n,,
x,,,,,,,b,,,b,,,,b,,w,,,h,v,d
,,,f,,,,,,,?,k,,,w,,w,,p,w,s,
,,,,a,,w,,p,,b,,,w,,p,,o,p,u,v,
f,,g,,,,c,,,,,,,,,,,o,,k,,u
,,n,t,,f,c,n,,,e,,,,w,,,,p,,,
f,,,,,,,,,,e,,,,,,,,p,,,u
,,,,,,,,y,e,,,s,,o,,,,,b,,l
,,n,,,,,n,,t,,,,,,,,,,,,
,s,n,,,,c,n,b,,?,,s,,,,,,,,,l
,,,,c,,,n,u,,,,,w,,p,,,p,,,
,,,f,,f,c,,,,b,k,k,n,,,w,,,,,
,y,,,,,,b,,,,,,w,w,p,w,o,p,,,g
,,n,f,,,,,n,,,s,,,,,w,o,,,,
f,,g,t,f,,,,w,,,,,w,,,w,,,,,
,y,g,t,,,c,,,t,,,,,,,,o,p,,,
,,,,,,,,b,t,,,,,,,,o,e,w,,l
,,,f,,,c,,,t,,k,s,,,,,,,w,,
,y,,,,f,,,,e,,s,,,,,,,,,,
x,,,,,,c,b,,,b,,,,,,,,p,,y,d
f,y,g,,,,,,,,,k,,n,n,p,w,,,,,g
,,,,,f,c,,p,,,s,,,,p,,,,,v,
,,,,p,,c,n,,e,,,s,,,,,,,k,,u
x,s,n,,n,a,,b,,e,,s,,o,,,,,,,,
,,,,,,c,,b,t,,,,p,,,,o,e,,v,
f,,,f,,,,b,,e,,,k,,b,,,,l,,,
,,e,t,,,,b,u,,,s,,,,,,,,,v,
,,,f,,,,,h,,,,,n,n,p,w,o,,,,
,s,n,f,,,,,,,,,,,,,,,,,,
x,,,,,f,,,n,,r,,y,w,w,,,o,,,,
,,,,,f,,,,e,c,,,,,,w,,p,,,
,,,,,,,b,p,,,,k,,,,,o,,h,v,g
x,,,f,,f,,,,e,,,,,,,w,,e,,,
,f,,,,f,c,,n,,,,,w,,,,o,,,,
,,,f,,,c,,,,b,k,k,,p,,w,,,,,
,f,w,f,n,,,,,t,,,,w,,,w,o,,,,
,,e,f,,,,n,,t,,,k,,,p,w,,e,,v,p
,,n,,,,,,n,,,,,,,,w,o,,k,,d
,f,w,,,f,w,,,t,,s,,,,,,,p,u,,
,s,,,,,w,b,,,,f,,w,,p,,,,,a,g
,,,f,n,,w,b,,t,,,s,,,p,w,o,e,k,,
x,,,,n,f,c,b,,,,,,,,,,,,,,p
,,e,t,,,c,,,,,s,,,,p,,,,n,,
f,,e,,,,,n,,,,,,,,p,w,,e,,,
,,,f,,,,,,,,,,,,,,,l,,,
x,y,,t,n,,c,b,w,t,,,,,,p,,,p,,,
,,e,,,,c,,,t,,,,w,p,,,o,,,v,
,f,,f,n,,,,k,,,,,w,,,,o,e,k,,
,y,,,,f,,,,,b,,,w,,p,,,,k,v,
,,,t,n,,,b,,,,,s,w,,p,,o,,,,d
,s,,t,,,,,g,,c,,,,,p,w,o,p,,,
,,,,n,,c,b,,,,s,,,w,,,,p,,,
,,e,,,,,n,,,,,,,w,,,,,,,
,,w,,l,,c,b,,e,,s,,w,,,,,,,,
k,,,,,,,n,b,t,?,,,,,,,,,w,,
,,,,n,a,,,,,,s,s,o,o,,o,,,n,,
,,,,,f,,,,e,,k,,b,,,,o,,,,
b,,y,,,f,,,,,,,,w,,p,w,,,,,
,,,,,,,,,,b,,,,b,,,,,h,v,
,,,f,f,f,c,,h,e,,k,,p,,,,,l,,,
