cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
k,s,,f,s,f,,,,t,?,,,p,,p,,,,,,
x,,n,,f,f,,,b,t,?,k,s,w,,p,,,e,w,,
f,y,,,,f,c,,,,,s,,p,,,w,,e,w,v,
f,f,n,,n,,,b,,,b,s,s,,p,p,w,o,p,n,v,
,,y,t,,f,,,k,,,,,w,w,p,,o,p,,n,m
x,,n,f,f,f,c,,b,,,k,k,,,,,o,,,,l
,,n,,,f,,,,t,,,,,,,w,o,p,,y,d
k,s,,t,,f,,b,,,,s,s,w,,p,w,,e,w,c,
f,,g,f,,f,c,b,,,,k,,p,n,p,,o,l,h,,d
,,w,t,,f,,,,,e,,s,w,w,p,,,,,,
,y,,,f,f,,n,b,,?,s,s,,w,,w,,,,v,p
,,n,,y,f,,,b,,?,,k,w,,,,o,e,w,,d
x,s,,t,,f,,,,t,b,s,s,,,p,,,,,,
f,,,f,y,,c,,b,,?,,,,p,,,,e,,,p
,,e,,y,f,c,n,b,t,,s,,,,p,w,,e,,v,
,s,w,f,,f,,b,p,t,,f,,w,,p,w,,e,k,,g
f,,w,,p,f,,,,,e,,,,,,w,o,,,,u
,,,,n,f,c,n,,,,,,,w,p,,o,,n,y,u
x,,n,,n,,c,,y,e,,s,,o,,p,,,,,c,l
f,s,g,t,,,c,b,,t,b,,s,w,w,,w,o,p,,v,
,,,f,,f,w,,p,t,,,f,,w,,w,,,,,
,,,,,,c,b,,,b,s,,,,,w,,p,k,,
f,y,g,,f,f,c,,,,,,k,n,n,p,,,l,h,y,
,s,,,f,f,c,b,w,,,,f,,,,,o,p,h,v,
x,s,,,f,,,n,,t,,k,s,p,,,w,o,,,,l
f,f,,,n,f,,,n,,,s,s,,,p,w,o,p,,,
k,s,,f,,,,,o,,?,s,,,,p,o,o,,,v,l
,s,,,,f,,,,,,,k,p,,,w,,,,,
,,,,y,f,,,,t,?,k,s,p,,,w,o,,w,,d
,,n,,n,,,b,,e,?,,,o,,,,,,y,,l
x,,e,,,,,,,t,b,s,s,,,p,w,o,,n,,d
f,y,y,,,f,,,g,e,b,k,,n,b,p,,,,h,,p
x,,,,n,,,,p,,e,,s,w,w,p,,o,,k,,g
,,w,t,,f,c,n,p,,,s,s,w,w,,,,,k,,
,,,t,n,f,,b,,t,b,,s,,g,,w,,p,n,,d
,,,t,a,f,c,b,,,c,,,w,,p,w,,p,k,,
,,n,f,s,f,c,,,,?,k,,p,p,p,w,o,e,w,,
,s,n,f,f,f,c,n,,,,k,,,w,,,o,,w,v,
,,,,n,f,,,,,b,,,,w,p,,o,p,k,,d
x,,w,f,n,,w,b,,t,,,s,,w,,w,,,n,,
f,y,p,t,,,c,,w,e,?,s,s,,,p,w,t,e,,,
,,,,,f,c,,w,t,b,,,g,,,w,o,,k,y,d
,,,t,,f,,,,,,s,,,,,,,p,,y,
x,y,g,t,,f,c,,u,,,s,s,,,p,,o,p,k,,d
f,,,,f,,c,,,,b,k,,,p,,w,,,,,d
x,s,w,t,f,,c,b,,t,b,,f,w,w,,,,p,,,
f,,,f,,f,,b,h,,e,f,,,w,,w,,,,,g
,f,,f,n,,c,,p,,e,,s,w,w,,,,,,y,u
,,,,,,,,,t,,,f,,,p,w,o,,,,g
,s,w,,a,,c,,,,,s,,w,w,p,,,,k,,g
f,y,e,,n,,c,b,u,,,s,,p,,p,w,,,,y,d
f,,e,t,n,,,b,,e,,s,,e,,,w,t,,w,c,w
,s,w,,,f,w,,p,,,k,k,w,w,,w,t,,,s,g
f,y,,,s,,,n,,,?,,,w,w,p,w,,,w,v,d
x,,e,f,,,,n,,,?,,k,,w,p,,,e,w,,
x,s,,f,y,,,,b,t,?,k,,w,p,p,w,o,,,v,
x,,,,n,,,b,n,,b,s,,g,w,,w,o,p,,v,d
f,s,,,,f,,,,,,f,,,w,,,o,p,h,,g
,y,w,,p,f,c,,,e,,s,s,w,w,p,,o,,,s,
