age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact,day_of_week,default,education,housing,job,loan,marital,month,poutcome
40.0,,,999.0,0.0,1.4,,-42.7,,,telephone,,unknown,basic.9y,yes,,no,married,jul,nonexistent
31.0,116.0,4.0,999.0,,-1.8,,-46.2,1244.0,5099.1,cellular,mon,no,university.degree,,admin.,no,married,may,nonexistent
,13.0,6.0,999.0,1.0,-1.8,92893.0,-46.2,,,cellular,,,basic.4y,,,no,,may,failure
,,5.0,999.0,0.0,1.4,93918.0,-42.7,,,cellular,tue,,basic.9y,,housemaid,no,divorced,jul,
39.0,344.0,,999.0,0.0,1.1,93994.0,,4.86,5191.0,telephone,thu,unknown,,no,,no,single,may,nonexistent
,727.0,2.0,999.0,0.0,-1.8,93075.0,,1405.0,5099.1,,fri,,basic.9y,no,management,,,apr,
,115.0,,999.0,,-1.8,,,,5099.1,cellular,mon,no,professional.course,yes,admin.,,,may,
36.0,,2.0,999.0,0.0,1.1,,,,5191.0,telephone,tue,,basic.9y,no,blue-collar,no,single,may,nonexistent
,93.0,,999.0,0.0,1.1,,-36.4,4857.0,,telephone,tue,no,basic.9y,yes,,no,married,may,nonexistent
,174.0,7.0,999.0,0.0,,,,4962.0,5228.1,cellular,wed,no,university.degree,yes,technician,no,single,jul,
47.0,253.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4153.0,,cellular,,no,,no,housemaid,yes,divorced,nov,failure
50.0,217.0,1.0,,0.0,-0.1,,-42.0,,5195.8,cellular,,,basic.4y,yes,,,married,,nonexistent
,,1.0,999.0,,1.4,,,4864.0,5228.1,telephone,tue,no,,,,no,,jun,nonexistent
,121.0,,999.0,0.0,,93994.0,,4859.0,,telephone,fri,no,,no,admin.,yes,,,
,292.0,8.0,999.0,0.0,1.4,,,4963.0,,cellular,wed,no,basic.4y,yes,,no,divorced,jul,
43.0,91.0,1.0,999.0,,,92963.0,,1262.0,5076.2,,tue,no,university.degree,,admin.,no,married,,nonexistent
36.0,148.0,,,,-1.8,93369.0,-34.8,0.654,5008.7,cellular,,no,,no,management,no,married,,failure
,,1.0,999.0,,-0.1,,-42.0,4.12,5195.8,,,no,,,management,no,married,,failure
35.0,130.0,1.0,999.0,,1.4,93918.0,,4962.0,,cellular,wed,no,university.degree,no,management,no,married,jul,nonexistent
54.0,41.0,1.0,999.0,0.0,-1.8,93075.0,-47.1,1365.0,5099.1,cellular,,,,yes,housemaid,no,married,,nonexistent
32.0,180.0,2.0,999.0,,1.1,93994.0,,,5191.0,,wed,no,high.school,,services,,single,may,
32.0,,,999.0,1.0,,92893.0,,1281.0,5099.1,telephone,wed,unknown,basic.9y,yes,blue-collar,no,single,,
36.0,569.0,2.0,999.0,0.0,-2.9,,-40.8,,5076.2,,tue,no,professional.course,,technician,no,single,jun,
33.0,398.0,2.0,999.0,0.0,1.4,94465.0,-41.8,4959.0,5228.1,,fri,unknown,,no,blue-collar,,,jun,
28.0,98.0,1.0,999.0,,,93075.0,,1405.0,5099.1,,fri,,university.degree,yes,student,no,,apr,nonexistent
32.0,262.0,,999.0,,-1.8,,-46.2,1299.0,5099.1,cellular,mon,,basic.6y,yes,,,married,,failure
,,1.0,,1.0,,92893.0,-46.2,,5099.1,cellular,thu,no,university.degree,yes,services,no,single,may,failure
38.0,,3.0,,,1.1,93994.0,-36.4,4857.0,5191.0,telephone,tue,no,,yes,unemployed,no,,,
34.0,81.0,2.0,,,-1.8,,,,5099.1,,,no,professional.course,yes,technician,,married,may,nonexistent
34.0,19.0,,,0.0,,,,1281.0,5099.1,cellular,,no,professional.course,yes,,no,single,may,nonexistent
,339.0,1.0,999.0,,-0.1,93.2,-42.0,,,cellular,tue,no,university.degree,no,,,married,nov,nonexistent
23.0,104.0,1.0,999.0,,,92893.0,-46.2,,,,thu,no,high.school,no,technician,,single,,nonexistent
,62.0,1.0,999.0,,-0.1,93.2,-42.0,4021.0,5195.8,telephone,fri,no,high.school,yes,services,,married,,failure
82.0,,6.0,999.0,0.0,-1.8,93749.0,-34.6,0.638,,cellular,,no,basic.4y,unknown,housemaid,unknown,,,nonexistent
34.0,838.0,3.0,,,,93918.0,,,5228.1,cellular,tue,no,high.school,yes,management,no,married,,nonexistent
24.0,84.0,13.0,,,,93918.0,-42.7,,,,,,,,admin.,yes,,jul,nonexistent
33.0,210.0,1.0,999.0,0.0,,,-47.1,1405.0,5099.1,cellular,,,,,blue-collar,,,apr,nonexistent
45.0,,1.0,,,-0.1,93.2,,4021.0,5195.8,cellular,fri,no,high.school,,admin.,yes,divorced,nov,nonexistent
,403.0,1.0,,1.0,-1.8,92893.0,-46.2,,5099.1,cellular,wed,,,yes,services,no,divorced,may,
37.0,,1.0,999.0,0.0,,,-36.4,4855.0,5191.0,,thu,no,university.degree,no,,no,single,may,
43.0,70.0,3.0,999.0,0.0,1.4,94465.0,-41.8,,5228.1,,,,university.degree,no,admin.,no,divorced,jun,
25.0,130.0,4.0,999.0,,,93994.0,-36.4,,5191.0,telephone,fri,,basic.9y,,housemaid,,single,may,nonexistent
28.0,,1.0,,1.0,,92649.0,,,5017.5,,,no,professional.course,yes,technician,no,single,,failure
33.0,,1.0,999.0,0.0,1.4,,-42.7,4.96,,cellular,mon,no,university.degree,yes,,no,married,,nonexistent
52.0,296.0,,,,-0.1,93.2,,4153.0,,,,,basic.9y,,admin.,,single,nov,success
25.0,,8.0,999.0,0.0,,92649.0,-30.1,,,,,,university.degree,,,no,married,nov,nonexistent
40.0,113.0,,999.0,0.0,1.4,93444.0,,4964.0,5228.1,,wed,,professional.course,no,technician,no,single,aug,nonexistent
,262.0,4.0,999.0,0.0,1.1,93994.0,-36.4,,,telephone,thu,,high.school,unknown,services,unknown,married,may,
,548.0,8.0,999.0,0.0,1.4,,-41.8,,5228.1,telephone,,no,high.school,no,,no,,jun,nonexistent
,314.0,,999.0,,-1.1,,-37.5,0.881,4963.6,cellular,tue,,basic.4y,yes,,no,divorced,sep,nonexistent
36.0,,1.0,999.0,1.0,,92201.0,-31.4,0.849,5076.2,cellular,fri,no,,yes,admin.,,married,aug,failure
50.0,,,,0.0,,93.2,,,,cellular,tue,no,high.school,no,admin.,no,married,nov,nonexistent
41.0,348.0,3.0,999.0,,-0.1,93.2,-42.0,4076.0,5195.8,,,no,,yes,,no,married,nov,nonexistent
45.0,93.0,1.0,999.0,0.0,1.4,93444.0,-36.1,4964.0,5228.1,cellular,fri,unknown,,,,,married,aug,nonexistent
31.0,108.0,2.0,999.0,0.0,1.1,93994.0,-36.4,4858.0,,,wed,no,university.degree,no,self-employed,,married,may,nonexistent
22.0,,1.0,,1.0,,92431.0,-26.9,,5017.5,,tue,no,high.school,yes,student,,,oct,success
24.0,201.0,,,0.0,-1.8,92893.0,-46.2,1299.0,5099.1,,mon,,high.school,,services,no,,,
31.0,,1.0,999.0,,-0.1,,-42.0,4191.0,5195.8,,,no,,yes,self-employed,yes,married,nov,failure
57.0,,,999.0,,1.4,,,4964.0,5228.1,,,no,professional.course,,services,no,,aug,nonexistent
58.0,,2.0,999.0,0.0,-1.8,,-46.2,1313.0,5099.1,,fri,no,,yes,management,no,single,,nonexistent
31.0,,1.0,,0.0,1.4,93444.0,,4963.0,5228.1,cellular,tue,no,professional.course,yes,,no,single,aug,nonexistent
53.0,217.0,2.0,,,1.1,93994.0,-36.4,,5191.0,telephone,thu,unknown,,yes,retired,no,married,,nonexistent
36.0,227.0,2.0,999.0,0.0,,,-46.2,1327.0,,,thu,,high.school,no,services,no,married,may,nonexistent
,324.0,,999.0,0.0,1.4,94465.0,-41.8,4961.0,5228.1,telephone,,,,no,blue-collar,no,,jun,nonexistent
,,2.0,,,1.4,94465.0,,4961.0,5228.1,,,,basic.9y,yes,services,no,married,jun,nonexistent
41.0,,,999.0,0.0,,94465.0,-41.8,4967.0,,,,unknown,basic.9y,no,blue-collar,,married,jun,nonexistent
29.0,,1.0,999.0,,-1.8,92893.0,,1291.0,5099.1,cellular,tue,no,basic.9y,no,services,,married,may,nonexistent
85.0,167.0,1.0,6.0,2.0,-1.8,93749.0,-34.6,,5008.7,cellular,tue,unknown,basic.4y,yes,housemaid,no,married,apr,success
,107.0,,999.0,1.0,-2.9,,,,5076.2,telephone,fri,no,,yes,,no,,,failure
58.0,158.0,,,1.0,,93.2,,4021.0,5195.8,,fri,,professional.course,,retired,no,married,nov,failure
43.0,402.0,1.0,999.0,0.0,1.4,,-42.7,4962.0,5228.1,cellular,,no,,,,,,,nonexistent
