age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact,day_of_week,default,education,housing,job,loan,marital,month,poutcome,y
40.0,,2.0,999.0,0.0,1.4,93918.0,-42.7,4.96,5228.1,telephone,mon,unknown,,yes,blue-collar,no,,jul,nonexistent,no
31.0,116.0,4.0,999.0,0.0,-1.8,,-46.2,1244.0,5099.1,cellular,mon,no,university.degree,,admin.,,,may,nonexistent,no
59.0,13.0,6.0,999.0,1.0,-1.8,92893.0,-46.2,1354.0,5099.1,cellular,,no,basic.4y,no,retired,no,married,,failure,no
43.0,94.0,,999.0,0.0,1.4,93918.0,-42.7,,5228.1,cellular,tue,no,basic.9y,yes,housemaid,no,divorced,jul,nonexistent,no
39.0,,2.0,999.0,,1.1,93994.0,-36.4,4.86,5191.0,telephone,thu,unknown,high.school,,admin.,,single,may,nonexistent,no
33.0,727.0,2.0,999.0,0.0,-1.8,93075.0,-47.1,1405.0,5099.1,cellular,fri,no,basic.9y,no,management,no,married,apr,nonexistent,no
35.0,115.0,3.0,999.0,0.0,-1.8,92893.0,-46.2,1354.0,,cellular,mon,no,professional.course,yes,,no,married,may,nonexistent,no
,201.0,2.0,999.0,0.0,1.1,93994.0,-36.4,4857.0,5191.0,telephone,tue,unknown,,no,blue-collar,no,single,,nonexistent,no
36.0,93.0,2.0,999.0,0.0,1.1,93994.0,-36.4,4857.0,5191.0,telephone,tue,,basic.9y,yes,blue-collar,no,,may,,no
28.0,,7.0,999.0,0.0,1.4,93918.0,-42.7,,5228.1,cellular,wed,no,university.degree,yes,technician,no,single,,nonexistent,no
47.0,253.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4153.0,,cellular,tue,no,professional.course,,housemaid,yes,divorced,,failure,no
50.0,,1.0,999.0,0.0,-0.1,93.2,-42.0,4076.0,5195.8,cellular,thu,unknown,basic.4y,yes,entrepreneur,no,married,nov,nonexistent,no
39.0,233.0,1.0,999.0,0.0,1.4,94465.0,-41.8,4864.0,,,tue,no,basic.6y,yes,blue-collar,no,married,jun,nonexistent,no
48.0,121.0,1.0,999.0,0.0,1.1,93994.0,-36.4,4859.0,,telephone,fri,no,university.degree,no,admin.,yes,single,may,nonexistent,no
52.0,292.0,8.0,999.0,0.0,1.4,93918.0,-42.7,4963.0,5228.1,cellular,wed,no,basic.4y,yes,blue-collar,no,divorced,jul,nonexistent,no
,91.0,1.0,,0.0,-2.9,92963.0,-40.8,1262.0,5076.2,cellular,tue,no,university.degree,yes,admin.,no,married,jun,nonexistent,no
36.0,148.0,1.0,,2.0,-1.8,93369.0,-34.8,0.654,,cellular,thu,no,university.degree,no,management,no,,mar,failure,yes
33.0,143.0,1.0,999.0,1.0,-0.1,93.2,-42.0,4.12,5195.8,cellular,wed,no,university.degree,no,management,no,married,nov,failure,no
35.0,,1.0,999.0,0.0,1.4,93918.0,-42.7,4962.0,5228.1,cellular,wed,no,university.degree,no,management,no,married,jul,nonexistent,no
54.0,41.0,,999.0,0.0,-1.8,93075.0,-47.1,1365.0,5099.1,cellular,,no,high.school,yes,housemaid,no,married,apr,nonexistent,no
32.0,180.0,2.0,999.0,0.0,1.1,93994.0,-36.4,,5191.0,telephone,wed,no,high.school,yes,services,no,single,may,nonexistent,no
32.0,134.0,1.0,999.0,1.0,,92893.0,-46.2,1281.0,5099.1,telephone,wed,unknown,,yes,blue-collar,no,single,may,failure,no
36.0,569.0,,999.0,0.0,-2.9,92963.0,-40.8,1252.0,5076.2,cellular,tue,no,,yes,technician,no,single,jun,nonexistent,no
33.0,398.0,2.0,999.0,0.0,1.4,94465.0,-41.8,4959.0,5228.1,telephone,fri,unknown,basic.6y,,,no,divorced,jun,nonexistent,no
28.0,98.0,1.0,999.0,,-1.8,93075.0,-47.1,1405.0,,telephone,fri,unknown,university.degree,yes,student,no,married,apr,,no
32.0,262.0,2.0,999.0,1.0,,92893.0,-46.2,,5099.1,cellular,mon,no,basic.6y,,admin.,no,married,may,,no
26.0,551.0,1.0,,1.0,-1.8,92893.0,,1327.0,5099.1,cellular,thu,no,university.degree,yes,services,no,single,may,failure,no
,597.0,3.0,999.0,0.0,1.1,93994.0,-36.4,4857.0,5191.0,telephone,tue,no,high.school,yes,unemployed,no,single,may,nonexistent,no
34.0,81.0,2.0,999.0,0.0,-1.8,92893.0,-46.2,,5099.1,cellular,fri,no,professional.course,yes,technician,no,married,,nonexistent,no
,19.0,11.0,999.0,0.0,-1.8,92893.0,-46.2,1281.0,5099.1,cellular,wed,no,professional.course,yes,technician,no,single,may,nonexistent,no
54.0,339.0,1.0,999.0,0.0,-0.1,93.2,-42.0,4153.0,5195.8,cellular,tue,no,university.degree,no,management,no,married,nov,nonexistent,no
23.0,,1.0,999.0,,-1.8,92893.0,-46.2,1266.0,5099.1,cellular,thu,no,high.school,,technician,no,single,may,nonexistent,no
31.0,62.0,1.0,999.0,1.0,,93.2,-42.0,4021.0,5195.8,telephone,fri,no,high.school,yes,,no,married,nov,failure,no
82.0,139.0,6.0,,0.0,-1.8,93749.0,-34.6,0.638,5008.7,cellular,tue,no,basic.4y,unknown,housemaid,unknown,divorced,apr,nonexistent,yes
34.0,838.0,,999.0,0.0,1.4,93918.0,-42.7,4961.0,5228.1,cellular,tue,no,high.school,yes,management,no,married,jul,nonexistent,yes
24.0,84.0,13.0,999.0,0.0,1.4,93918.0,-42.7,4963.0,5228.1,cellular,wed,no,university.degree,yes,admin.,yes,married,jul,nonexistent,no
33.0,,1.0,999.0,0.0,-1.8,93075.0,-47.1,1405.0,5099.1,cellular,mon,no,basic.4y,no,blue-collar,no,single,apr,nonexistent,no
45.0,,1.0,,0.0,-0.1,93.2,-42.0,4021.0,5195.8,cellular,fri,no,high.school,no,admin.,yes,divorced,,nonexistent,no
