age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
40.0,blue-collar,married,,,,no,telephone,jul,,94.0,2.0,999.0,0.0,nonexistent,1.4,,-42.7,4.96,5228.1,no
31.0,,married,,no,no,no,,may,,116.0,,999.0,,,,92893.0,-46.2,,,no
,retired,,,no,no,,cellular,may,mon,13.0,,999.0,1.0,failure,,92893.0,-46.2,1354.0,5099.1,no
43.0,,divorced,,no,,no,,jul,tue,,5.0,,,,,93918.0,-42.7,,5228.1,no
,,,high.school,unknown,,no,,,,,2.0,,,,1.1,93994.0,-36.4,,,no
,,married,basic.9y,no,,,cellular,,,,,999.0,,,,,,,5099.1,no
,admin.,,,no,,,,,mon,115.0,3.0,,,nonexistent,-1.8,92893.0,,1354.0,5099.1,no
36.0,,,basic.9y,,no,,telephone,,tue,,2.0,999.0,,nonexistent,1.1,93994.0,,4857.0,5191.0,no
36.0,blue-collar,married,basic.9y,,,,telephone,may,tue,,,999.0,0.0,,1.1,93994.0,-36.4,,,no
28.0,,single,,no,yes,,,,,,,999.0,,nonexistent,1.4,,,4962.0,5228.1,no
,,,,,,yes,cellular,nov,tue,,1.0,999.0,,,-0.1,93.2,-42.0,4153.0,5195.8,no
,,married,,,yes,,,nov,,217.0,1.0,999.0,0.0,nonexistent,,,-42.0,4076.0,5195.8,no
,blue-collar,,basic.6y,no,yes,,,,tue,,,999.0,0.0,nonexistent,1.4,,,4864.0,5228.1,no
,admin.,single,university.degree,,no,yes,telephone,may,,121.0,,999.0,0.0,nonexistent,,,-36.4,4859.0,5191.0,no
52.0,blue-collar,divorced,,,yes,no,cellular,jul,wed,,,,,nonexistent,,93918.0,-42.7,,5228.1,no
43.0,admin.,married,,,,no,,jun,,91.0,,,,nonexistent,-2.9,92963.0,,1262.0,,no
,management,,university.degree,,,no,,,,,1.0,999.0,2.0,failure,-1.8,,,0.654,,yes
33.0,,married,university.degree,no,no,,,nov,,,,,1.0,,,93.2,-42.0,4.12,5195.8,no
35.0,,married,,,no,,cellular,jul,wed,,1.0,,,nonexistent,1.4,,,,,no
,housemaid,,,,,no,cellular,apr,,,1.0,999.0,0.0,nonexistent,-1.8,,,,,no
,services,single,,no,,,telephone,may,wed,180.0,2.0,,0.0,nonexistent,1.1,93994.0,-36.4,,5191.0,no
,,,,unknown,yes,no,,may,wed,,,,1.0,failure,,92893.0,-46.2,,5099.1,no
,technician,,professional.course,no,,no,,,,,2.0,,0.0,,-2.9,,-40.8,1252.0,5076.2,no
,blue-collar,divorced,basic.6y,,no,no,,,,,,,0.0,nonexistent,,94465.0,,4959.0,5228.1,no
,student,,university.degree,,,,telephone,apr,fri,98.0,1.0,,0.0,nonexistent,,,-47.1,,5099.1,no
,,married,basic.6y,,,no,,,mon,262.0,2.0,999.0,,,-1.8,,-46.2,,5099.1,no
,,single,university.degree,,yes,no,cellular,,thu,,1.0,999.0,1.0,,,92893.0,,,5099.1,no
,unemployed,,,no,,no,,,,597.0,,999.0,0.0,nonexistent,,,,4857.0,5191.0,no
,,married,professional.course,no,,no,,may,fri,,2.0,,0.0,nonexistent,,92893.0,,1313.0,,no
34.0,technician,,,no,,no,cellular,,,,,999.0,0.0,,-1.8,,,1281.0,,no
,management,,university.degree,no,no,,cellular,nov,,339.0,1.0,999.0,0.0,,,,-42.0,,5195.8,no
23.0,,single,,,no,,cellular,,,,,999.0,,,-1.8,92893.0,,,5099.1,no
,services,,,no,yes,no,,,fri,62.0,,999.0,,failure,,93.2,-42.0,,,no
82.0,,divorced,,,unknown,,cellular,apr,,139.0,6.0,,0.0,,-1.8,,-34.6,,5008.7,yes
,,,,no,,,cellular,,,838.0,3.0,999.0,,,,93918.0,,4961.0,,yes
,,,university.degree,,,yes,cellular,,,84.0,13.0,,,,,,,,5228.1,no
,,,basic.4y,no,no,,cellular,,,,,999.0,0.0,nonexistent,,,-47.1,,5099.1,no
45.0,admin.,,,,,,,nov,fri,,,,0.0,,,,,,5195.8,no
,,divorced,,no,yes,,,,,,1.0,,1.0,failure,,,-46.2,,5099.1,no
,,single,university.degree,no,no,,telephone,,thu,500.0,1.0,999.0,0.0,nonexistent,,93994.0,,4855.0,,no
43.0,,,,no,,no,,jun,,,3.0,,0.0,,,,,,5228.1,no
,,single,,no,no,,telephone,,fri,,4.0,,,,1.1,,-36.4,,5191.0,no
,technician,single,,,yes,,cellular,,,296.0,1.0,,1.0,failure,,,,,5017.5,yes
,management,,university.degree,,,no,,jul,mon,,1.0,,0.0,nonexistent,,93918.0,,,5228.1,no
52.0,,single,,,yes,no,cellular,,,,1.0,6.0,1.0,,-0.1,,,,5195.8,no
,,,,no,yes,no,,nov,,446.0,8.0,,0.0,,-3.4,,,0.714,,no
40.0,,single,,,no,no,cellular,,,113.0,2.0,999.0,0.0,nonexistent,1.4,,-36.1,,5228.1,no
,services,married,,,unknown,,,may,thu,262.0,4.0,,0.0,nonexistent,1.1,,-36.4,4.86,,no
