class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,,,e,f,s,f,c,n,b,t,,s,k,p,,p,w,o,e,w,v,d
p,x,s,n,f,,f,,,,,?,k,,w,,p,w,o,e,w,,p
p,,y,e,f,y,f,,,b,,?,s,s,p,w,p,,o,e,w,v,l
e,f,f,n,t,,,c,b,,t,b,s,s,g,p,p,w,,,n,v,
e,b,y,,t,,f,c,b,,e,,s,s,,,,,o,,n,n,
p,x,,n,f,,f,c,n,b,t,,,k,w,,,,o,,w,v,l
e,,f,n,t,,f,c,b,w,,,s,s,g,g,,,o,,n,y,d
e,k,,e,,n,f,c,,e,,?,s,,w,w,,w,,e,,c,w
p,f,,g,f,f,f,c,b,p,,,k,k,,,p,w,o,,,y,d
p,f,s,w,t,p,f,c,,w,e,,s,s,,,,w,o,,,v,u
p,x,y,e,f,,,c,n,b,t,?,s,s,,w,p,w,o,e,,,p
p,f,s,,f,y,f,,n,,,,s,,,p,p,w,o,e,,,d
p,x,s,b,,f,f,c,,w,,b,,s,w,,,w,o,,h,s,u
p,f,,n,f,y,f,,n,,,?,k,k,w,,,,,,w,v,p
p,,,e,f,,f,c,n,b,,?,,,p,p,p,,,e,w,v,d
e,f,s,w,f,,f,w,b,p,t,,f,s,,w,p,,,,k,a,
p,f,s,w,t,,f,c,n,p,e,e,s,s,,w,p,w,o,p,n,v,u
e,,,,f,,,,,,,e,,,w,w,,,o,p,n,y,u
e,,s,n,,n,a,c,,y,e,?,s,s,o,o,,n,o,p,b,c,l
p,f,,,,f,f,c,b,,,b,,s,w,w,p,w,o,p,,v,u
e,f,f,,f,n,f,,b,p,t,e,f,f,w,w,,,o,e,n,a,g
e,,f,g,t,n,f,c,b,,t,b,,s,w,w,p,w,o,p,k,y,d
p,f,y,g,f,f,f,,b,p,e,,k,k,n,n,p,w,o,,h,,
p,,,g,t,f,f,c,b,,,b,f,f,w,w,,,o,p,h,,u
p,x,s,e,,f,f,c,n,b,t,,k,s,p,w,p,w,o,e,,v,
e,,f,e,,,f,c,,n,,b,s,s,w,p,p,w,o,p,n,y,d
e,k,,n,f,,a,c,,o,e,,s,,o,o,p,o,o,p,,,
p,k,,,f,f,f,c,n,b,t,?,,,,,,w,,,w,,
p,x,y,e,f,y,f,c,n,,t,,k,s,p,p,,,o,e,,,d
