LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
80000.0,2.0,2.0,2.0,24.0,0.0,,0.0,0.0,,,,,,,,39457.0,3503.0,5001.0,2092.0,,1445.0,,0
,,2.0,2.0,28.0,0.0,0.0,,,,0.0,29242.0,29507.0,29155.0,,22001.0,0.0,,,,955.0,,0.0,0
,,,1.0,44.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,20916.0,,850.0,,6881.0,10340.0,0.0,,0.0,,10340.0,,0
60000.0,,,,,0.0,,,0.0,,0.0,,53235.0,,,,,2018.0,,,1500.0,1900.0,2000.0,0
,,2.0,2.0,,0.0,,,0.0,,,111587.0,,114734.0,117823.0,,123904.0,4100.0,4200.0,,,,10700.0,0
,,,2.0,32.0,,,,,0.0,,,,,19588.0,20037.0,19880.0,0.0,,,,697.0,690.0,0
,2.0,,1.0,33.0,-1.0,-1.0,,-1.0,,,7067.0,,7064.0,,,2669.0,,7482.0,15315.0,,0.0,4600.0,0
210000.0,2.0,2.0,1.0,,,0.0,0.0,0.0,0.0,,205243.0,209502.0,,,,115700.0,,,,,,,0
,,2.0,,,0.0,,,,,,13517.0,,15694.0,,,,,,,,,,0
360000.0,,3.0,1.0,43.0,,,,,-2.0,-2.0,4435.0,799.0,,15584.0,3195.0,,,,15604.0,,4269.0,,0
220000.0,,,2.0,38.0,-1.0,,-1.0,-1.0,-1.0,,22145.0,5529.0,,1621.0,,,5575.0,4716.0,1632.0,,,,1
,2.0,,,,,,,0.0,,0.0,,70890.0,,67266.0,66431.0,67046.0,,,,2505.0,2590.0,,0
100000.0,1.0,1.0,,27.0,-1.0,,0.0,0.0,,,17553.0,,,,,,0.0,,,3323.0,,0.0,1
,,,,30.0,2.0,,,-1.0,,-2.0,4794.0,,,,,,1074.0,,,0.0,,,1
,,,,61.0,,2.0,0.0,0.0,0.0,,,78369.0,61849.0,57737.0,,60651.0,99.0,,,,,,1
,,1.0,1.0,,,0.0,,,,,,25791.0,,,40726.0,45923.0,,,5000.0,6452.0,,6892.0,0
,2.0,2.0,,24.0,,,0.0,0.0,0.0,,,,139520.0,,100810.0,,,,4500.0,3500.0,,4000.0,0
270000.0,,,,39.0,0.0,,0.0,0.0,,,116168.0,,,118269.0,,123227.0,4173.0,,,4191.0,,,0
170000.0,,,1.0,31.0,0.0,,0.0,,0.0,,,,112880.0,111210.0,,,112000.0,6000.0,4500.0,,5000.0,4500.0,0
,1.0,2.0,,24.0,,-1.0,,-1.0,,,,1462.0,4326.0,,,23797.0,1462.0,4326.0,6398.0,,,2000.0,1
110000.0,,,,,0.0,0.0,,,,,101006.0,104474.0,106332.0,106906.0,108952.0,110444.0,,5300.0,4000.0,4100.0,4631.0,4404.0,1
430000.0,1.0,2.0,1.0,,,,0.0,0.0,0.0,0.0,,,,25045.0,,26144.0,,2399.0,,914.0,,,0
360000.0,,,,39.0,,,,,-2.0,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0
150000.0,1.0,,,45.0,,0.0,0.0,,0.0,0.0,108434.0,,32220.0,,34164.0,,3000.0,1300.0,,1200.0,1200.0,0.0,0
240000.0,,,2.0,46.0,2.0,,-2.0,-1.0,,-1.0,456.0,0.0,0.0,2240.0,1681.0,2267.0,,,,,,,0
200000.0,,1.0,,33.0,,,,-2.0,-2.0,-2.0,,,,0.0,,0.0,4974.0,0.0,0.0,,0.0,,0
50000.0,2.0,1.0,2.0,27.0,0.0,,,,,,,45897.0,,,50856.0,,2500.0,2100.0,2000.0,,0.0,,0
,2.0,,1.0,38.0,0.0,,,0.0,0.0,,164418.0,167501.0,,,,,,,,,,5000.0,0
240000.0,2.0,2.0,1.0,37.0,-1.0,2.0,-1.0,,,,1769.0,842.0,,0.0,,,,14015.0,,1317.0,,,0
,,,,33.0,1.0,-1.0,,,,0.0,-117.0,,,,6087.0,-273.0,1000.0,,2000.0,,0.0,2000.0,0
,1.0,1.0,1.0,,,,0.0,,0.0,0.0,,206331.0,,,,,7536.0,,,7120.0,,,1
320000.0,,,,29.0,,,,,,-2.0,,26156.0,,,,,,13270.0,,66751.0,14405.0,52677.0,0
,,1.0,3.0,47.0,0.0,,0.0,0.0,,0.0,,,,41646.0,,40503.0,1680.0,,1603.0,,1598.0,,0
480000.0,,2.0,1.0,,-1.0,-1.0,-1.0,,,0.0,,,,0.0,,1978.0,1317.0,,0.0,,,0.0,0
20000.0,,,2.0,,0.0,0.0,,,,0.0,10476.0,7279.0,,688.0,688.0,,,688.0,0.0,,,0.0,0
420000.0,,2.0,,32.0,0.0,0.0,0.0,,,0.0,546485.0,,,,110930.0,,,8931.0,4940.0,1796.0,3100.0,133131.0,0
,1.0,2.0,,,,,,,0.0,0.0,155389.0,152162.0,154715.0,155026.0,,81089.0,,6500.0,,2518.0,2994.0,0.0,0
380000.0,,1.0,1.0,40.0,,,0.0,0.0,0.0,0.0,,,236292.0,,,,,9000.0,,10000.0,,10000.0,0
,1.0,,2.0,,0.0,0.0,,,,0.0,24043.0,,,,,,,0.0,2257.0,,1000.0,,0
230000.0,1.0,,2.0,,-2.0,-2.0,-2.0,-2.0,-2.0,,,371.0,416.0,416.0,,,371.0,461.0,,566.0,416.0,0.0,0
,1.0,2.0,2.0,,,0.0,0.0,0.0,0.0,,47816.0,49694.0,,,,,3000.0,,,,1000.0,,0
80000.0,,,1.0,,,0.0,,0.0,0.0,,19277.0,,20977.0,,18587.0,,,,1019.0,,,,0
,1.0,,2.0,,,,,,,,,,,20000.0,,,2089.0,,,0.0,0.0,0.0,0
30000.0,1.0,,,38.0,,0.0,2.0,0.0,0.0,,27429.0,,29282.0,29270.0,,,,,588.0,588.0,574.0,,0
280000.0,,1.0,2.0,30.0,,-1.0,,,,-1.0,,,5118.0,380.0,,380.0,,5118.0,,,,380.0,0
100000.0,1.0,2.0,,,,2.0,0.0,0.0,,,,96932.0,96924.0,96122.0,97432.0,95062.0,0.0,,,,3590.0,10179.0,0
130000.0,2.0,2.0,1.0,46.0,0.0,0.0,,,,,,124900.0,,,,,,0.0,,0.0,,,0
120000.0,2.0,2.0,1.0,50.0,,,,0.0,,0.0,118492.0,119637.0,102228.0,75558.0,47536.0,44749.0,6141.0,,2647.0,,1322.0,1500.0,0
30000.0,,2.0,,23.0,0.0,,2.0,2.0,,,19321.0,,23321.0,25809.0,24985.0,700.0,,,3316.0,0.0,700.0,0.0,1
50000.0,,3.0,2.0,23.0,,,,,2.0,2.0,,,46294.0,,,,3695.0,,1900.0,,3700.0,,1
220000.0,2.0,1.0,0.0,33.0,-1.0,-1.0,,-1.0,-1.0,,3378.0,,,,1738.0,277.0,,,608.0,1738.0,277.0,,0
20000.0,,3.0,2.0,27.0,0.0,0.0,,,-1.0,,,19038.0,38730.0,-210.0,,,1558.0,,,1290.0,0.0,780.0,0
50000.0,2.0,,,47.0,0.0,,,0.0,,,11961.0,,16028.0,17760.0,,22141.0,2500.0,,2000.0,,3000.0,,0
80000.0,2.0,1.0,2.0,,0.0,0.0,,-2.0,-2.0,-2.0,8766.0,,0.0,,0.0,0.0,,,,,0.0,,0
110000.0,2.0,1.0,2.0,24.0,1.0,,,0.0,0.0,,115527.0,,,216850.0,,,0.0,,7000.0,7766.0,3982.0,,1
,1.0,2.0,0.0,38.0,-1.0,,,,-2.0,-2.0,176.0,,0.0,0.0,,0.0,252.0,,0.0,0.0,,,0
,2.0,2.0,2.0,26.0,,,,0.0,0.0,,66087.0,,,61845.0,,66801.0,,,,,7600.0,0.0,1
