cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
k,s,e,f,s,f,c,n,b,t,?,,k,p,,p,w,o,e,w,v,d,p
x,,n,f,,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,p
f,y,e,f,,f,,n,b,,?,s,,p,w,p,w,o,e,w,v,l,p
f,,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d,e
b,y,y,t,l,f,c,b,k,e,c,,,w,w,p,,o,p,n,n,m,e
x,,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,,l,p
x,f,n,t,n,f,c,b,,t,b,,s,g,g,p,w,o,p,n,,d,e
k,s,e,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,e
f,y,g,,f,f,,b,p,e,b,k,,p,n,p,w,o,l,h,y,d,p
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u,p
x,y,,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,p
f,s,n,f,y,f,c,,b,t,?,,k,w,p,p,w,o,e,w,v,,p
x,s,b,t,f,f,c,b,w,t,b,s,s,,w,p,w,o,p,h,s,u,p
f,y,n,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p,p
x,s,e,f,y,f,c,n,b,t,?,s,,p,p,,w,o,e,w,v,d,p
,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,,k,a,g,e
f,s,w,t,p,f,c,,p,e,e,s,s,w,w,p,w,o,p,n,v,u,p
s,f,n,,n,f,c,n,n,e,e,,s,w,w,p,w,o,p,n,y,u,e
x,s,n,f,n,a,c,b,y,e,?,,s,o,o,p,n,o,p,b,c,l,e
f,s,g,t,f,,c,,,t,b,f,s,w,w,p,w,o,p,h,v,u,p
f,f,n,,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g,e
x,f,g,t,n,f,c,b,,t,b,s,s,w,w,p,w,o,p,k,y,d,e
f,y,g,f,f,f,c,b,p,e,b,k,k,n,,p,w,o,l,h,y,,p
,s,g,t,f,f,c,,w,t,b,f,f,w,,p,,o,,h,v,u,p
x,s,e,f,f,f,c,,b,t,?,k,,p,w,p,w,o,e,w,v,l,p
,f,e,t,,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d,e
k,s,n,f,n,a,,b,o,e,?,s,,o,o,p,o,o,,b,v,l,e
k,s,e,f,f,f,c,n,b,t,?,,k,p,p,p,w,o,e,w,v,p,p
x,y,e,f,y,,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,p
b,s,n,f,n,a,,b,o,,?,s,s,,o,p,n,o,p,y,v,l,e
x,y,e,t,n,f,,b,,t,,s,,,w,p,w,o,p,n,,d,e
,y,y,f,f,f,c,,g,e,b,k,k,,b,p,w,o,l,h,y,p,p
,s,w,f,,f,w,b,p,t,e,f,s,w,w,p,w,,e,k,s,g,e
x,y,w,,p,f,c,n,p,e,e,s,s,,w,p,w,o,p,k,v,u,p
f,f,e,t,n,f,c,b,n,t,b,s,s,p,g,,w,o,p,,y,d,e
x,y,y,,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g,e
x,s,n,f,s,f,c,n,b,t,?,k,k,p,p,,w,o,e,w,v,l,p
x,s,n,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,,d,p
